Set,Description,Feature #,Data row,beta_full,t_NW_full,p_NW_full,N windows,Sig windows,Sig ratio,Mean |t_NW|
u3,Price Differences,11,70,-0.013216954192777,-3.2793137579520195,0.0010407730897772276,37,28,0.757,4.099
u3,Price Differences,12,71,-0.008422523508863968,-2.514830858534415,0.011909713484702147,37,15,0.405,1.888
u3,Price Differences,13,72,-0.009035638120645624,-2.3967668977930012,0.016541337592819092,37,6,0.162,1.529
u3,Price Differences,20,79,-0.009421676523737477,-2.1186530914210198,0.03412100186299496,37,10,0.27,1.773
u6,Price & Volume Derivatives,1,86,0.018467423488559544,11.285238340332928,1.5838772952720928e-29,37,33,0.892,9.222
u6,Price & Volume Derivatives,2,87,0.005929087032752955,8.017538415023157,1.0845047875934537e-15,37,29,0.784,3.73
u6,Price & Volume Derivatives,3,88,0.022053938227366076,10.83528799780276,2.3828828384915773e-27,37,33,0.892,9.197
u6,Price & Volume Derivatives,5,90,0.010358288979440257,4.737577378301721,2.164337023537919e-06,37,29,0.784,8.101
u6,Price & Volume Derivatives,6,91,0.003190934308868581,6.621797082392541,3.557337237124816e-11,37,22,0.595,2.756
u6,Price & Volume Derivatives,7,92,0.01648304880223524,7.242243000438305,4.4287236156699753e-13,37,32,0.865,9.126
u6,Price & Volume Derivatives,8,93,-0.008885348481884405,-2.2117925653660877,0.026982106209956967,37,30,0.811,3.491
u6,Price & Volume Derivatives,10,95,0.0024688778693347656,7.1728124408969,7.372064183322171e-13,37,27,0.73,2.495
u6,Price & Volume Derivatives,11,96,0.010759885078325053,4.609600155478955,4.036883322744725e-06,37,28,0.757,8.669
u6,Price & Volume Derivatives,15,100,0.009151638438897387,5.949564210906949,2.692940005017632e-09,37,28,0.757,8.575
u6,Price & Volume Derivatives,17,102,0.003740806527596009,3.934935971266199,8.324645262789362e-05,37,30,0.811,6.694
u6,Price & Volume Derivatives,19,104,0.007153433777423886,6.373906331646915,1.8466482331422987e-10,37,27,0.73,7.824
u6,Price & Volume Derivatives,23,108,0.005318725315021792,6.540626255896494,6.140580939936921e-11,37,27,0.73,7.657
u6,Price & Volume Derivatives,27,112,0.004032007321139012,6.45389643539879,1.0925360308499216e-10,37,27,0.73,7.437
u6,Price & Volume Derivatives,28,113,0.0011292465493269357,2.742033763497028,0.006106539190721374,37,5,0.135,1.046
u6,Price & Volume Derivatives,29,114,0.0016226108543177776,3.030683111741537,0.0024403178342592606,37,27,0.73,5.081
u6,Price & Volume Derivatives,31,116,0.0032508037517080157,6.454896630611817,1.0853462227256709e-10,37,28,0.757,7.587
u6,Price & Volume Derivatives,33,118,0.0012174998426256673,3.2086243623486004,0.00133392238574614,37,32,0.865,6.104
u6,Price & Volume Derivatives,35,120,0.0029288545406487908,6.039472204457192,1.548853836655316e-09,37,28,0.757,7.115
u6,Price & Volume Derivatives,37,122,0.000933226263837857,2.361126113393503,0.018220469219672276,37,29,0.784,5.204
u6,Price & Volume Derivatives,38,123,0.0004362166270808978,2.7327834205406036,0.0062807026142993345,37,4,0.108,1.023
u6,Price & Volume Derivatives,39,124,0.0025106201934523772,5.0241793243704285,5.06015994399189e-07,37,25,0.676,6.371
u6,Price & Volume Derivatives,40,125,-0.0007148671556537939,-2.471655289003217,0.013449723532538019,37,8,0.216,1.285
